 499 0.002030634502067259
acf 1 4.069407819774066e-06
achieves 1 4.069407819774066e-06
aci 3 1.22082234593222e-05
acivmuwcphfhwezbqb 1 4.069407819774066e-06
acjcqhcsy 1 4.069407819774066e-06
acjcqttitk 1 4.069407819774066e-06
acjcwxt 1 4.069407819774066e-06
acjhyva 1 4.069407819774066e-06
ack 6 2.44164469186444e-05
acquirer 3 1.22082234593222e-05
acrobat 2 8.138815639548132e-06
acronymchile 4 1.6277631279096265e-05
acroos 1 4.069407819774066e-06
across 10 4.069407819774066e-05
act 7 2.8485854738418467e-05
actaully 2 8.138815639548132e-06
acterna 4 1.6277631279096265e-05
acting 1 4.069407819774066e-06
action 14 5.697170947683693e-05
activate 1 4.069407819774066e-06
active 3 1.22082234593222e-05
actively 1 4.069407819774066e-06
acts 1 4.069407819774066e-06
actual 8 3.255526255819253e-05
actually 68 0.00027671973174463654
aculink 61 0.0002482338770062181
acustomed 1 4.069407819774066e-06
ad 10 4.069407819774066e-05
ada 5 2.034703909887033e-05
adabas 1 4.069407819774066e-06
adaptec 1 4.069407819774066e-06
adapter 1 4.069407819774066e-06
adapters 2 8.138815639548132e-06
adaware 12 4.88328938372888e-05
adb 2 8.138815639548132e-06
adbf 1 4.069407819774066e-06
adbvdesign 13 5.2902301657062864e-05
add 38 0.00015463749715141452
added 15 6.1041117296611e-05
adding 12 4.88328938372888e-05
addition 9 3.66246703779666e-05
additional 4 1.6277631279096265e-05
addmodule 1 4.069407819774066e-06
addr 3 1.22082234593222e-05
address 69 0.0002807891395644106
addressed 3 1.22082234593222e-05
addressee 8 3.255526255819253e-05
addresses 15 6.1041117296611e-05
adds 2 8.138815639548132e-06
addtosel 4 1.6277631279096265e-05
adequate 1 4.069407819774066e-06
adfaa 1 4.069407819774066e-06
adjacent 1 4.069407819774066e-06
adjust 2 8.138815639548132e-06
admin 2068 0.008415535371292769
admindb 6 2.44164469186444e-05
admining 1 4.069407819774066e-06
admininstration 3 1.22082234593222e-05
administer 1 4.069407819774066e-06
administered 1 4.069407819774066e-06
administering 2 8.138815639548132e-06
administration 1 4.069407819774066e-06
administrator 15 6.1041117296611e-05
admins 5 2.034703909887033e-05
admirably 3 1.22082234593222e-05
admire 2 8.138815639548132e-06
admit 5 2.034703909887033e-05
adobe 1 4.069407819774066e-06
adopted 1 4.069407819774066e-06
adopter 1 4.069407819774066e-06
adpcm 2 8.138815639548132e-06
adr 12 4.88328938372888e-05
adresse 8 3.255526255819253e-05
adsl 15 6.1041117296611e-05
adult 1 4.069407819774066e-06
adv 1 4.069407819774066e-06
advance 3 1.22082234593222e-05
advanced 13 5.2902301657062864e-05
advantage 13 5.2902301657062864e-05
advent 2 8.138815639548132e-06
advertised 4 1.6277631279096265e-05
advertising 1 4.069407819774066e-06
advice 11 4.476348601751473e-05
advocacy 2 8.138815639548132e-06
ae 11 4.476348601751473e-05
aeb 2 8.138815639548132e-06
aec 1 4.069407819774066e-06
aecqqfq 1 4.069407819774066e-06
aere 1 4.069407819774066e-06
aerial 2 8.138815639548132e-06
aew 1 4.069407819774066e-06
af 29 0.00011801282677344793
afa 1 4.069407819774066e-06
afaa 1 4.069407819774066e-06
afaics 2 8.138815639548132e-06
afaik 10 4.069407819774066e-05
afb 1 4.069407819774066e-06
affect 9 3.66246703779666e-05
affected 2 8.138815639548132e-06
afford 4 1.6277631279096265e-05
afk 1 4.069407819774066e-06
afn 1 4.069407819774066e-06
aforementioned 2 8.138815639548132e-06
africa 1 4.069407819774066e-06
aft 1 4.069407819774066e-06
after 65 0.0002645115082853143
afternoon 1 4.069407819774066e-06
aftersales 1 4.069407819774066e-06
afterstep 1 4.069407819774066e-06
afterthought 1 4.069407819774066e-06
afterwards 4 1.6277631279096265e-05
afwlb 1 4.069407819774066e-06
ag 15 6.1041117296611e-05
again 53 0.00021567861444802552
againn 4 1.6277631279096265e-05
against 20 8.138815639548132e-05
agat 6 2.44164469186444e-05
agb 1 4.069407819774066e-06
age 4 1.6277631279096265e-05
agent 287 0.0011679200442751571
agents 1 4.069407819774066e-06
ages 9 3.66246703779666e-05
aggrandising 1 4.069407819774066e-06
agile 1 4.069407819774066e-06
agnt 1 4.069407819774066e-06
ago 32 0.00013022105023277012
agree 7 2.8485854738418467e-05
agreement 3 1.22082234593222e-05
agtel 4 1.6277631279096265e-05
agty 1 4.069407819774066e-06
agus 5 2.034703909887033e-05
ah 10 4.069407819774066e-05
ahd 1 4.069407819774066e-06
ahead 1 4.069407819774066e-06
ahem 1 4.069407819774066e-06
aholm 6 2.44164469186444e-05
ahww 1 4.069407819774066e-06
ai 3 1.22082234593222e-05
aib 13 5.2902301657062864e-05
aidan 10 4.069407819774066e-05
aim 3 1.22082234593222e-05
aiming 1 4.069407819774066e-06
ain 6 2.44164469186444e-05
airing 2 8.138815639548132e-06
airlock 6 2.44164469186444e-05
ais 8 3.255526255819253e-05
ait 1 4.069407819774066e-06
aix 1 4.069407819774066e-06
aj 8 3.255526255819253e-05
ak 1 4.069407819774066e-06
aka 1 4.069407819774066e-06
akc 1 4.069407819774066e-06
akj 1 4.069407819774066e-06
akjn 1 4.069407819774066e-06
al 18 7.32493407559332e-05
alan 16 6.511052511638506e-05
alarming 1 4.069407819774066e-06
alas 3 1.22082234593222e-05
albeit 6 2.44164469186444e-05
albert 24 9.76657876745776e-05
albertw 2 8.138815639548132e-06
album 8 3.255526255819253e-05
albums 13 5.2902301657062864e-05
alcatel 2 8.138815639548132e-06
alfalfa 2 8.138815639548132e-06
alfio 21 8.54575642152554e-05
alfred 26 0.00010580460331412573
algorithm 5 2.034703909887033e-05
algorithms 2 8.138815639548132e-06
alias 2 8.138815639548132e-06
aliases 4 1.6277631279096265e-05
aligned 1 4.069407819774066e-06
all 285 0.0011597812286356088
alleged 1 4.069407819774066e-06
allegience 1 4.069407819774066e-06
alliance 3 1.22082234593222e-05
allied 1 4.069407819774066e-06
allocate 1 4.069407819774066e-06
allocated 1 4.069407819774066e-06
allow 8 3.255526255819253e-05
allowance 1 4.069407819774066e-06
allowed 4 1.6277631279096265e-05
allowing 1 4.069407819774066e-06
allows 9 3.66246703779666e-05
allways 1 4.069407819774066e-06
almost 32 0.00013022105023277012
alone 7 2.8485854738418467e-05
along 10 4.069407819774066e-05
alonmg 1 4.069407819774066e-06
alpha 1 4.069407819774066e-06
alphabet 2 8.138815639548132e-06
alphabetical 1 4.069407819774066e-06
alphyra 69 0.0002807891395644106
already 26 0.00010580460331412573
alright 1 4.069407819774066e-06
also 114 0.0004639124914542436
alt 8 3.255526255819253e-05
altaexchange 3 1.22082234593222e-05
altamedius 6 2.44164469186444e-05
alter 3 1.22082234593222e-05
altered 3 1.22082234593222e-05
alternates 2 8.138815639548132e-06
alternative 3 1.22082234593222e-05
alternatively 6 2.44164469186444e-05
alternatives 2 8.138815639548132e-06
although 14 5.697170947683693e-05
altogether 2 8.138815639548132e-06
aluminum 2 8.138815639548132e-06
always 51 0.0002075397988084774
am 147 0.0005982029495067878
amanda 2 8.138815639548132e-06
amazing 2 8.138815639548132e-06
amazon 9 3.66246703779666e-05
ambiguous 1 4.069407819774066e-06
ambulances 1 4.069407819774066e-06
amd 7 2.8485854738418467e-05
amended 1 4.069407819774066e-06
amer 9 3.66246703779666e-05
america 5 2.034703909887033e-05
amiga 1 4.069407819774066e-06
among 5 2.034703909887033e-05
amongst 2 8.138815639548132e-06
amount 12 4.88328938372888e-05
amounts 1 4.069407819774066e-06
amusements 2 8.138815639548132e-06
amusing 2 8.138815639548132e-06
amxlb 1 4.069407819774066e-06
an 326 0.0013266269492463456
analog 28 0.00011394341895367387
analogous 2 8.138815639548132e-06
analogue 1 4.069407819774066e-06
analyse 3 1.22082234593222e-05
analyses 2 8.138815639548132e-06
analysis 1 4.069407819774066e-06
anam 1 4.069407819774066e-06
anamh 8 3.255526255819253e-05
and 1635 0.0066534817853305984
anders 22 8.952697203502946e-05
andre 4 1.6277631279096265e-05
andrew 4 1.6277631279096265e-05
angle 4 1.6277631279096265e-05
anglophones 1 4.069407819774066e-06
animated 5 2.034703909887033e-05
animation 5 2.034703909887033e-05
anjk 1 4.069407819774066e-06
annotated 1 4.069407819774066e-06
announce 1 4.069407819774066e-06
annoyance 1 4.069407819774066e-06
annoyed 3 1.22082234593222e-05
annoying 5 2.034703909887033e-05
annoys 1 4.069407819774066e-06
anonymous 1 4.069407819774066e-06
another 56 0.00022788683790734773
ans 1 4.069407819774066e-06
anseo 4 1.6277631279096265e-05
ansi 2 8.138815639548132e-06
answer 9 3.66246703779666e-05
answered 4 1.6277631279096265e-05
answering 1 4.069407819774066e-06
answers 7 2.8485854738418467e-05
ant 5 2.034703909887033e-05
antefacto 4 1.6277631279096265e-05
anthem 3 1.22082234593222e-05
anthems 1 4.069407819774066e-06
anthony 7 2.8485854738418467e-05
anti 3 1.22082234593222e-05
antiabuse 5 2.034703909887033e-05
anticipation 3 1.22082234593222e-05
antivir 1 4.069407819774066e-06
antoin 4 1.6277631279096265e-05
antoinmail 1 4.069407819774066e-06
any 258 0.0010499072175017092
anybody 20 8.138815639548132e-05
anyhow 4 1.6277631279096265e-05
anymore 9 3.66246703779666e-05
anyone 96 0.0003906631506983104
anyother 1 4.069407819774066e-06
anything 37 0.00015056808933164046
anytime 1 4.069407819774066e-06
anyway 48 0.0001953315753491552
anyways 4 1.6277631279096265e-05
anywhere 12 4.88328938372888e-05
aon 6 2.44164469186444e-05
aoxzdwz 1 4.069407819774066e-06
ap 1 4.069407819774066e-06
apache 11 4.476348601751473e-05
apart 8 3.255526255819253e-05
api 1 4.069407819774066e-06
apmknw 1 4.069407819774066e-06
apollo 3 1.22082234593222e-05
apologies 8 3.255526255819253e-05
apologise 2 8.138815639548132e-06
app 13 5.2902301657062864e-05
apparent 3 1.22082234593222e-05
apparently 18 7.32493407559332e-05
appeals 1 4.069407819774066e-06
appear 5 2.034703909887033e-05
appearance 3 1.22082234593222e-05
appeared 6 2.44164469186444e-05
appearing 1 4.069407819774066e-06
appears 12 4.88328938372888e-05
append 6 2.44164469186444e-05
appended 1 4.069407819774066e-06
appending 1 4.069407819774066e-06
appends 1 4.069407819774066e-06
apple 3 1.22082234593222e-05
applets 3 1.22082234593222e-05
appliance 3 1.22082234593222e-05
applicable 1 4.069407819774066e-06
applicant 1 4.069407819774066e-06
application 24 9.76657876745776e-05
applications 12 4.88328938372888e-05
applied 2 8.138815639548132e-06
applies 7 2.8485854738418467e-05
apply 5 2.034703909887033e-05
applying 1 4.069407819774066e-06
appreaciated 4 1.6277631279096265e-05
appreciate 5 2.034703909887033e-05
appreciated 15 6.1041117296611e-05
appreciation 3 1.22082234593222e-05
approach 4 1.6277631279096265e-05
approaches 1 4.069407819774066e-06
approaching 1 4.069407819774066e-06
appropriate 7 2.8485854738418467e-05
approriate 1 4.069407819774066e-06
approval 6 2.44164469186444e-05
approve 5 2.034703909887033e-05
approved 1 4.069407819774066e-06
approx 5 2.034703909887033e-05
approximately 1 4.069407819774066e-06
approximation 1 4.069407819774066e-06
apps 21 8.54575642152554e-05
apriori 1 4.069407819774066e-06
apt 1 4.069407819774066e-06
apxs 3 1.22082234593222e-05
aquainted 1 4.069407819774066e-06
ar 33 0.00013429045805254418
arafel 8 3.255526255819253e-05
arap 1 4.069407819774066e-06
arbitrary 6 2.44164469186444e-05
arch 1 4.069407819774066e-06
architect 2 8.138815639548132e-06
architecture 9 3.66246703779666e-05
architectures 2 8.138815639548132e-06
archival 1 4.069407819774066e-06
archive 36 0.0001464986815118664
archiver 1 4.069407819774066e-06
archives 6 2.44164469186444e-05
archiving 2 8.138815639548132e-06
archs 1 4.069407819774066e-06
archtecture 2 8.138815639548132e-06
are 402 0.0016359019435491747
area 6 2.44164469186444e-05
areas 3 1.22082234593222e-05
aren 17 6.917993293615914e-05
argc 3 1.22082234593222e-05
args 29 0.00011801282677344793
arguably 1 4.069407819774066e-06
argued 1 4.069407819774066e-06
argument 4 1.6277631279096265e-05
arguments 4 1.6277631279096265e-05
argv 12 4.88328938372888e-05
arithmetic 2 8.138815639548132e-06
arkaitz 3 1.22082234593222e-05
arkeia 1 4.069407819774066e-06
arm 5 2.034703909887033e-05
arose 4 1.6277631279096265e-05
around 45 0.000183123351889833
arpa 1 4.069407819774066e-06
arrangement 2 8.138815639548132e-06
arranging 1 4.069407819774066e-06
array 9 3.66246703779666e-05
arrays 1 4.069407819774066e-06
arrggghhhh 2 8.138815639548132e-06
arrive 8 3.255526255819253e-05
arrives 3 1.22082234593222e-05
arronax 2 8.138815639548132e-06
arround 3 1.22082234593222e-05
arse 2 8.138815639548132e-06
arsed 2 8.138815639548132e-06
arsehole 1 4.069407819774066e-06
art 4 1.6277631279096265e-05
artemail 1 4.069407819774066e-06
artemus 1 4.069407819774066e-06
article 4 1.6277631279096265e-05
articles 1 4.069407819774066e-06
artifact 1 4.069407819774066e-06
artistic 1 4.069407819774066e-06
artists 2 8.138815639548132e-06
arts 1 4.069407819774066e-06
aryan 8 3.255526255819253e-05
as 548 0.0022300354852361885
asap 5 2.034703909887033e-05
asc 37 0.00015056808933164046
ascendeth 1 4.069407819774066e-06
ascii 268 0.0010906012956994498
aside 3 1.22082234593222e-05
ask 21 8.54575642152554e-05
asked 24 9.76657876745776e-05
asking 13 5.2902301657062864e-05
askins 14 5.697170947683693e-05
asks 1 4.069407819774066e-06
asm 1 4.069407819774066e-06
asmtp 2 8.138815639548132e-06
asp 2 8.138815639548132e-06
aspect 1 4.069407819774066e-06
aspects 2 8.138815639548132e-06
aspell 3 1.22082234593222e-05
aspx 1 4.069407819774066e-06
ass 4 1.6277631279096265e-05
assembler 2 8.138815639548132e-06
assembly 2 8.138815639548132e-06
assert 2 8.138815639548132e-06
assertion 3 1.22082234593222e-05
assign 2 8.138815639548132e-06
assigned 3 1.22082234593222e-05
assigning 1 4.069407819774066e-06
assignment 2 8.138815639548132e-06
assigns 1 4.069407819774066e-06
assist 1 4.069407819774066e-06
associated 1 4.069407819774066e-06
assortment 2 8.138815639548132e-06
assume 8 3.255526255819253e-05
assumed 1 4.069407819774066e-06
assumes 1 4.069407819774066e-06
assuming 7 2.8485854738418467e-05
assumption 3 1.22082234593222e-05
aswell 3 1.22082234593222e-05
asynchronous 1 4.069407819774066e-06
at 518 0.0021079532506429665
ata 1 4.069407819774066e-06
atb 2 8.138815639548132e-06
athlon 7 2.8485854738418467e-05
athlone 1 4.069407819774066e-06
ati 1 4.069407819774066e-06
atime 1 4.069407819774066e-06
atlas 12 4.88328938372888e-05
atop 1 4.069407819774066e-06
attach 8 3.255526255819253e-05
attached 2 8.138815639548132e-06
attaches 1 4.069407819774066e-06
attachment 1 4.069407819774066e-06
attachments 3 1.22082234593222e-05
attack 2 8.138815639548132e-06
attbi 2 8.138815639548132e-06
attempt 14 5.697170947683693e-05
attempted 3 1.22082234593222e-05
attempts 2 8.138815639548132e-06
attend 3 1.22082234593222e-05
attending 2 8.138815639548132e-06
attention 2 8.138815639548132e-06
attract 1 4.069407819774066e-06
attributed 3 1.22082234593222e-05
attributes 4 1.6277631279096265e-05
attribution 1 4.069407819774066e-06
atx 2 8.138815639548132e-06
au 42 0.0001709151284305108
aub 2 8.138815639548132e-06
audience 2 8.138815639548132e-06
audio 3 1.22082234593222e-05
auev 1 4.069407819774066e-06
aug 3140 0.012777940554090568
augh 2 8.138815639548132e-06
august 31 0.00012615164241299606
aukb 3 1.22082234593222e-05
auley 2 8.138815639548132e-06
aus 9 3.66246703779666e-05
ausadmmsps 6 2.44164469186444e-05
ausadmmsrr 3 1.22082234593222e-05
austin 32 0.00013022105023277012
ausxc 3 1.22082234593222e-05
auth 15 6.1041117296611e-05
authenticate 3 1.22082234593222e-05
authenticated 4 1.6277631279096265e-05
authentication 475 0.0019329687143926815
authentications 6 2.44164469186444e-05
author 6 2.44164469186444e-05
authoring 2 8.138815639548132e-06
authorised 2 8.138815639548132e-06
authoritai 2 8.138815639548132e-06
authorization 5 2.034703909887033e-05
authorized 4 1.6277631279096265e-05
auto 4 1.6277631279096265e-05
autoconverted 45 0.000183123351889833
autodetect 3 1.22082234593222e-05
autodetecting 1 4.069407819774066e-06
autoencrypt 2 8.138815639548132e-06
autoexec 1 4.069407819774066e-06
autoinstalled 1 4.069407819774066e-06
automagically 3 1.22082234593222e-05
automated 4 1.6277631279096265e-05
automatic 3 1.22082234593222e-05
automatically 17 6.917993293615914e-05
automatisierungstechnik 1 4.069407819774066e-06
autorun 12 4.88328938372888e-05
autosign 2 8.138815639548132e-06
auxuyo 1 4.069407819774066e-06
av 3 1.22082234593222e-05
availabe 1 4.069407819774066e-06
availability 1 4.069407819774066e-06
available 40 0.00016277631279096265
availible 3 1.22082234593222e-05
avdf 3 1.22082234593222e-05
average 19 7.731874857570726e-05
avi 2 8.138815639548132e-06
avilable 1 4.069407819774066e-06
avoid 7 2.8485854738418467e-05
avoidance 1 4.069407819774066e-06
aw 1 4.069407819774066e-06
awaiting 2 8.138815639548132e-06
award 1 4.069407819774066e-06
aware 7 2.8485854738418467e-05
away 22 8.952697203502946e-05
awe 1 4.069407819774066e-06
awful 3 1.22082234593222e-05
awhalley 5 2.034703909887033e-05
awk 3 1.22082234593222e-05
awkward 2 8.138815639548132e-06
awubpv 1 4.069407819774066e-06
awyy 1 4.069407819774066e-06
ax 1 4.069407819774066e-06
axfr 2 8.138815639548132e-06
axis 1 4.069407819774066e-06
axnw 1 4.069407819774066e-06
axu 1 4.069407819774066e-06
ay 1 4.069407819774066e-06
ayatollah 8 3.255526255819253e-05
aye 2 8.138815639548132e-06
ayoz 1 4.069407819774066e-06
azcc 1 4.069407819774066e-06
azost 1 4.069407819774066e-06
b 591 0.002405020021486473
ba 57 0.0002319562457271218
baa 22 8.952697203502946e-05
babdb 1 4.069407819774066e-06
babies 4 1.6277631279096265e-05
bablokb 1 4.069407819774066e-06
baby 2 8.138815639548132e-06
back 77 0.00031334440212260313
backed 3 1.22082234593222e-05
background 19 7.731874857570726e-05
backtick 1 4.069407819774066e-06
backup 49 0.00019940098316892927
backups 6 2.44164469186444e-05
backwards 1 4.069407819774066e-06
bad 41 0.00016684572061073674
badly 2 8.138815639548132e-06
badqqqovjq 1 4.069407819774066e-06
baf 1 4.069407819774066e-06
bagend 58 0.00023602565354689586
baile 1 4.069407819774066e-06
bails 3 1.22082234593222e-05
bak 2 8.138815639548132e-06
balance 1 4.069407819774066e-06
baldwin 1 4.069407819774066e-06
ball 2 8.138815639548132e-06
ballsy 2 8.138815639548132e-06
baltimore 19 7.731874857570726e-05
balwb 1 4.069407819774066e-06
banba 2 8.138815639548132e-06
band 3 1.22082234593222e-05
bandwagon 1 4.069407819774066e-06
bandwidth 2 8.138815639548132e-06
bandwidthwise 1 4.069407819774066e-06
bang 3 1.22082234593222e-05
banging 3 1.22082234593222e-05
banirh 5 2.034703909887033e-05
banjaxed 2 8.138815639548132e-06
bank 1 4.069407819774066e-06
bankcentre 1 4.069407819774066e-06
banks 1 4.069407819774066e-06
banning 1 4.069407819774066e-06
bar 15 6.1041117296611e-05
barbie 1 4.069407819774066e-06
bare 3 1.22082234593222e-05
barge 14 5.697170947683693e-05
barnes 3 1.22082234593222e-05
barrage 1 4.069407819774066e-06
bas 56 0.00022788683790734773
base 14 5.697170947683693e-05
based 24 9.76657876745776e-05
basement 1 4.069407819774066e-06
baset 8 3.255526255819253e-05
bash 15 6.1041117296611e-05
bashrc 1 4.069407819774066e-06
basic 16 6.511052511638506e-05
basically 11 4.476348601751473e-05
basis 6 2.44164469186444e-05
basket 1 4.069407819774066e-06
basque 3 1.22082234593222e-05
bastard 2 8.138815639548132e-06
bastardised 1 4.069407819774066e-06
bat 1 4.069407819774066e-06
bathroom 1 4.069407819774066e-06
bathtub 2 8.138815639548132e-06
battery 3 1.22082234593222e-05
battle 1 4.069407819774066e-06
baud 1 4.069407819774066e-06
baudrate 2 8.138815639548132e-06
bauwolf 2 8.138815639548132e-06
bay 2 8.138815639548132e-06
bays 6 2.44164469186444e-05
bb 30 0.000122082234593222
bba 1 4.069407819774066e-06
bbbe 1 4.069407819774066e-06
bbc 7 2.8485854738418467e-05
bbd 1 4.069407819774066e-06
bblcd 2 8.138815639548132e-06
bbn 5 2.034703909887033e-05
bbnmg 3 1.22082234593222e-05
bboqc 1 4.069407819774066e-06
bbreb 1 4.069407819774066e-06
bbs 3 1.22082234593222e-05
bc 17 6.917993293615914e-05
bcad 2 8.138815639548132e-06
bcada 1 4.069407819774066e-06
bcb 1 4.069407819774066e-06
bcbcb 1 4.069407819774066e-06
bcc 5 2.034703909887033e-05
bcd 2 8.138815639548132e-06
bceflmceijhpcplgadjicedccaaa 1 4.069407819774066e-06
bceflmceijhpcplgadjicedpcaaa 5 2.034703909887033e-05
bcf 1 4.069407819774066e-06
bchv 1 4.069407819774066e-06
bcs 33 0.00013429045805254418
bd 42 0.0001709151284305108
bda 2 8.138815639548132e-06
bdb 2 8.138815639548132e-06
bdc 1 4.069407819774066e-06
bdd 1 4.069407819774066e-06
bdfb 1 4.069407819774066e-06
bdlwb 1 4.069407819774066e-06
bdt 6 2.44164469186444e-05
be 1142 0.004647263730181984
beacon 1 4.069407819774066e-06
bean 1 4.069407819774066e-06
bear 2 8.138815639548132e-06
bearing 6 2.44164469186444e-05
beast 1 4.069407819774066e-06
beastie 1 4.069407819774066e-06
beaten 1 4.069407819774066e-06
beatles 12 4.88328938372888e-05
beauty 1 4.069407819774066e-06
because 58 0.00023602565354689586
becker 9 3.66246703779666e-05
become 6 2.44164469186444e-05
becomes 2 8.138815639548132e-06
becuase 1 4.069407819774066e-06
bed 19 7.731874857570726e-05
bedford 18 7.32493407559332e-05
bedv 1 4.069407819774066e-06
been 113 0.0004598430836344695
beenthere 505 0.0020550509489859034
beeping 2 8.138815639548132e-06
beer 24 9.76657876745776e-05
bef 1 4.069407819774066e-06
before 51 0.0002075397988084774
beg 1 4.069407819774066e-06
begin 21 8.54575642152554e-05
beginner 3 1.22082234593222e-05
beginners 13 5.2902301657062864e-05
beginning 5 2.034703909887033e-05
begs 3 1.22082234593222e-05
behalf 10 4.069407819774066e-05
behaving 1 4.069407819774066e-06
behavior 1 4.069407819774066e-06
behaviour 7 2.8485854738418467e-05
behind 7 2.8485854738418467e-05
being 58 0.00023602565354689586
beirne 16 6.511052511638506e-05
belabour 1 4.069407819774066e-06
belew 2 8.138815639548132e-06
believe 23 9.359637985480353e-05
believed 1 4.069407819774066e-06
believer 33 0.00013429045805254418
bell 1 4.069407819774066e-06
belle 4 1.6277631279096265e-05
belongs 1 4.069407819774066e-06
below 11 4.476348601751473e-05
belt 1 4.069407819774066e-06
benchmark 1 4.069407819774066e-06
bender 11 4.476348601751473e-05
benefit 14 5.697170947683693e-05
benefits 4 1.6277631279096265e-05
benifit 1 4.069407819774066e-06
benson 1 4.069407819774066e-06
benv 1 4.069407819774066e-06
berkeley 2 8.138815639548132e-06
bernard 1 4.069407819774066e-06
bernie 2 8.138815639548132e-06
besides 1 4.069407819774066e-06
best 46 0.00018719275970960705
bet 3 1.22082234593222e-05
beta 2 8.138815639548132e-06
better 63 0.0002563726926457662
betters 1 4.069407819774066e-06
betting 1 4.069407819774066e-06
between 32 0.00013022105023277012
beyond 5 2.034703909887033e-05
bf 27 0.00010987401113389979
bfa 1 4.069407819774066e-06
bfae 1 4.069407819774066e-06
bfahw 1 4.069407819774066e-06
bfb 1 4.069407819774066e-06
bfd 3 1.22082234593222e-05
bfe 1 4.069407819774066e-06
bfi 2 8.138815639548132e-06
bfn 1 4.069407819774066e-06
bgam 1 4.069407819774066e-06
bge 8 3.255526255819253e-05
bh 4 1.6277631279096265e-05
bhc 1 4.069407819774066e-06
bheadh 4 1.6277631279096265e-05
bhfios 6 2.44164469186444e-05
bhl 1 4.069407819774066e-06
bib 2 8.138815639548132e-06
big 20 8.138815639548132e-05
bigbiz 6 2.44164469186444e-05
bigger 9 3.66246703779666e-05
bignum 2 8.138815639548132e-06
bilbo 11 4.476348601751473e-05
bilge 1 4.069407819774066e-06
bill 7 2.8485854738418467e-05
billion 3 1.22082234593222e-05
bimnb 1 4.069407819774066e-06
bin 17 6.917993293615914e-05
binaries 10 4.069407819774066e-05
binary 15 6.1041117296611e-05
bind 16 6.511052511638506e-05
binding 7 2.8485854738418467e-05
bing 1 4.069407819774066e-06
bingo 2 8.138815639548132e-06
binutils 2 8.138815639548132e-06
bios 18 7.32493407559332e-05
bird 7 2.8485854738418467e-05
birds 3 1.22082234593222e-05
birep 1 4.069407819774066e-06
bisp 1 4.069407819774066e-06
bit 345 0.001403945697822053
bite 3 1.22082234593222e-05
bitorika 2 8.138815639548132e-06
bits 9 3.66246703779666e-05
bitten 1 4.069407819774066e-06
biz 2 8.138815639548132e-06
bizarre 2 8.138815639548132e-06
bj 1 4.069407819774066e-06
bjkp 1 4.069407819774066e-06
bjpostk 1 4.069407819774066e-06
black 10 4.069407819774066e-05
blackbox 3 1.22082234593222e-05
blackcomb 3 1.22082234593222e-05
blackhole 1 4.069407819774066e-06
blacklist 4 1.6277631279096265e-05
blackstar 1 4.069407819774066e-06
blade 1 4.069407819774066e-06
blah 9 3.66246703779666e-05
blame 1 4.069407819774066e-06
blank 6 2.44164469186444e-05
blanket 3 1.22082234593222e-05
blanking 4 1.6277631279096265e-05
blatant 1 4.069407819774066e-06
blen 2 8.138815639548132e-06
blew 1 4.069407819774066e-06
blf 64 0.00026044210046554024
blimp 1 4.069407819774066e-06
blind 1 4.069407819774066e-06
blindly 1 4.069407819774066e-06
bloat 3 1.22082234593222e-05
block 11 4.476348601751473e-05
blocking 1 4.069407819774066e-06
blocks 7 2.8485854738418467e-05
blocksize 1 4.069407819774066e-06
